,date,precipitation,temp_max,temp_min,wind,weather,month,year
0,2012-01-01,0.0,12.8,5.0,4.7,drizzle,January,2012
1,2012-01-02,10.9,10.6,2.8,4.5,rain,January,2012
2,2012-01-03,0.8,11.7,7.2,2.3,rain,January,2012
3,2012-01-04,20.3,12.2,5.6,4.7,rain,January,2012
4,2012-01-05,1.3,8.9,2.8,6.1,rain,January,2012
5,2012-01-06,2.5,4.4,2.2,2.2,rain,January,2012
6,2012-01-07,0.0,7.2,2.8,2.3,rain,January,2012
7,2012-01-08,0.0,10.0,2.8,2.0,sun,January,2012
8,2012-01-09,4.3,9.4,5.0,3.4,rain,January,2012
9,2012-01-10,1.0,6.1,0.6,3.4,rain,January,2012
10,2012-01-11,0.0,6.1,-1.1,5.1,sun,January,2012
11,2012-01-12,0.0,6.1,-1.7,1.9,sun,January,2012
12,2012-01-13,0.0,5.0,-2.8,1.3,sun,January,2012
13,2012-01-14,4.1,4.4,0.6,5.3,snow,January,2012
14,2012-01-15,5.3,1.1,-3.3,3.2,snow,January,2012
15,2012-01-16,2.5,1.7,-2.8,5.0,snow,January,2012
16,2012-01-17,8.1,3.3,0.0,5.6,snow,January,2012
17,2012-01-18,19.8,0.0,-2.8,5.0,snow,January,2012
18,2012-01-19,15.2,-1.1,-2.8,1.6,snow,January,2012
19,2012-01-20,13.5,7.2,-1.1,2.3,snow,January,2012
20,2012-01-21,3.0,8.3,3.3,8.2,rain,January,2012
21,2012-01-22,6.1,6.7,2.2,4.8,rain,January,2012
22,2012-01-23,0.0,8.3,1.1,3.6,rain,January,2012
23,2012-01-24,8.6,10.0,2.2,5.1,rain,January,2012
24,2012-01-25,8.1,8.9,4.4,5.4,rain,January,2012
25,2012-01-26,4.8,8.9,1.1,4.8,rain,January,2012
26,2012-01-27,0.0,6.7,-2.2,1.4,drizzle,January,2012
27,2012-01-28,0.0,6.7,0.6,2.2,rain,January,2012
28,2012-01-29,27.7,9.4,3.9,4.5,rain,January,2012
29,2012-01-30,3.6,8.3,6.1,5.1,rain,January,2012
30,2012-01-31,1.8,9.4,6.1,3.9,rain,January,2012
31,2012-02-01,13.5,8.9,3.3,2.7,rain,February,2012
32,2012-02-02,0.0,8.3,1.7,2.6,sun,February,2012
33,2012-02-03,0.0,14.4,2.2,5.3,sun,February,2012
34,2012-02-04,0.0,15.6,5.0,4.3,sun,February,2012
35,2012-02-05,0.0,13.9,1.7,2.9,sun,February,2012
36,2012-02-06,0.0,16.1,1.7,5.0,sun,February,2012
37,2012-02-07,0.3,15.6,7.8,5.3,rain,February,2012
38,2012-02-08,2.8,10.0,5.0,2.7,rain,February,2012
39,2012-02-09,2.5,11.1,7.8,2.4,rain,February,2012
40,2012-02-10,2.5,12.8,6.7,3.0,rain,February,2012
41,2012-02-11,0.8,8.9,5.6,3.4,rain,February,2012
42,2012-02-12,1.0,8.3,5.0,1.3,rain,February,2012
43,2012-02-13,11.4,7.2,4.4,1.4,rain,February,2012
44,2012-02-14,2.5,6.7,1.1,3.1,rain,February,2012
45,2012-02-15,0.0,7.2,0.6,1.8,drizzle,February,2012
46,2012-02-16,1.8,7.2,3.3,2.1,rain,February,2012
47,2012-02-17,17.3,10.0,4.4,3.4,rain,February,2012
48,2012-02-18,6.4,6.7,3.9,8.1,rain,February,2012
49,2012-02-19,0.0,6.7,2.2,4.7,sun,February,2012
50,2012-02-20,3.0,7.8,1.7,2.9,rain,February,2012
51,2012-02-21,0.8,10.0,7.8,7.5,rain,February,2012
52,2012-02-22,8.6,10.0,2.8,5.9,rain,February,2012
53,2012-02-23,0.0,8.3,2.8,3.9,sun,February,2012
54,2012-02-24,11.4,6.7,4.4,3.5,rain,February,2012
55,2012-02-25,0.0,7.2,2.8,6.4,rain,February,2012
56,2012-02-26,1.3,5.0,-1.1,3.4,snow,February,2012
57,2012-02-27,0.0,6.7,-2.2,3.0,sun,February,2012
58,2012-02-28,3.6,6.7,-0.6,4.2,snow,February,2012
59,2012-02-29,0.8,5.0,1.1,7.0,snow,February,2012
60,2012-03-01,0.0,6.1,1.1,3.1,sun,March,2012
61,2012-03-02,2.0,6.7,3.9,5.1,rain,March,2012
62,2012-03-03,0.0,12.2,6.7,7.0,sun,March,2012
63,2012-03-04,0.0,10.6,6.7,5.6,rain,March,2012
64,2012-03-05,6.9,7.8,1.1,6.2,rain,March,2012
65,2012-03-06,0.5,6.7,0.0,2.7,snow,March,2012
66,2012-03-07,0.0,8.9,-1.7,2.7,sun,March,2012
67,2012-03-08,0.0,15.6,0.6,2.5,sun,March,2012
68,2012-03-09,3.6,9.4,5.0,2.8,rain,March,2012
69,2012-03-10,10.4,7.2,6.1,3.4,rain,March,2012
70,2012-03-11,13.7,6.7,2.8,5.8,rain,March,2012
71,2012-03-12,19.3,8.3,0.6,6.2,snow,March,2012
72,2012-03-13,9.4,5.6,0.6,5.3,snow,March,2012
73,2012-03-14,8.6,7.8,1.1,4.7,rain,March,2012
74,2012-03-15,23.9,11.1,5.6,5.8,snow,March,2012
75,2012-03-16,8.4,8.9,3.9,5.1,rain,March,2012
76,2012-03-17,9.4,10.0,0.6,3.8,snow,March,2012
77,2012-03-18,3.6,5.0,-0.6,2.7,rain,March,2012
78,2012-03-19,2.0,7.2,-1.1,3.0,rain,March,2012
79,2012-03-20,3.6,7.8,2.2,6.4,rain,March,2012
80,2012-03-21,1.3,8.9,1.1,2.5,rain,March,2012
81,2012-03-22,4.1,10.0,1.7,2.1,rain,March,2012
82,2012-03-23,0.0,12.2,0.6,2.8,sun,March,2012
83,2012-03-24,0.0,15.0,3.3,5.2,sun,March,2012
84,2012-03-25,0.0,13.3,2.2,2.7,rain,March,2012
85,2012-03-26,0.0,12.8,6.1,4.3,drizzle,March,2012
86,2012-03-27,4.8,14.4,6.7,3.8,rain,March,2012
87,2012-03-28,1.3,10.6,7.2,5.9,rain,March,2012
88,2012-03-29,27.4,10.0,6.1,4.4,rain,March,2012
89,2012-03-30,5.6,9.4,5.0,4.7,rain,March,2012
90,2012-03-31,13.2,10.0,2.8,3.4,rain,March,2012
91,2012-04-01,1.5,8.9,4.4,6.8,rain,April,2012
92,2012-04-02,0.0,16.7,4.4,3.1,sun,April,2012
93,2012-04-03,1.5,11.7,3.3,3.1,rain,April,2012
94,2012-04-04,0.0,10.6,2.8,2.1,sun,April,2012
95,2012-04-05,4.6,9.4,2.8,1.8,snow,April,2012
96,2012-04-06,0.3,11.1,3.3,2.6,rain,April,2012
97,2012-04-07,0.0,16.1,1.7,4.3,sun,April,2012
98,2012-04-08,0.0,21.1,7.2,4.1,sun,April,2012
99,2012-04-09,0.0,20.0,6.1,2.1,sun,April,2012
100,2012-04-10,0.0,17.8,8.9,3.2,rain,April,2012
101,2012-04-11,2.3,11.1,7.2,2.6,rain,April,2012
102,2012-04-12,0.5,13.9,5.6,2.6,rain,April,2012
103,2012-04-13,0.0,15.0,3.9,4.0,drizzle,April,2012
104,2012-04-14,0.0,15.6,3.3,3.0,sun,April,2012
105,2012-04-15,0.0,16.1,7.2,2.9,rain,April,2012
106,2012-04-16,8.1,13.3,6.7,5.8,rain,April,2012
107,2012-04-17,1.8,10.0,4.4,2.0,rain,April,2012
108,2012-04-18,1.8,13.3,7.2,3.9,rain,April,2012
109,2012-04-19,10.9,13.9,5.0,2.6,rain,April,2012
110,2012-04-20,6.6,13.3,6.7,2.7,rain,April,2012
111,2012-04-21,0.0,20.0,4.4,2.3,sun,April,2012
112,2012-04-22,0.0,23.3,8.3,2.6,rain,April,2012
113,2012-04-23,0.0,21.7,8.9,3.5,sun,April,2012
114,2012-04-24,4.3,13.9,10.0,2.8,rain,April,2012
115,2012-04-25,10.7,16.7,8.9,2.6,rain,April,2012
116,2012-04-26,3.8,13.9,6.7,5.2,rain,April,2012
117,2012-04-27,0.8,13.3,6.1,4.8,rain,April,2012
118,2012-04-28,0.0,16.1,8.3,2.5,drizzle,April,2012
119,2012-04-29,4.3,15.6,8.9,1.6,rain,April,2012
120,2012-04-30,4.3,12.8,7.2,8.0,rain,April,2012
121,2012-05-01,0.5,11.7,6.1,6.4,rain,May,2012
122,2012-05-02,0.5,13.3,5.6,2.5,rain,May,2012
123,2012-05-03,18.5,11.1,7.2,3.4,rain,May,2012
124,2012-05-04,1.8,12.2,6.1,4.6,rain,May,2012
125,2012-05-05,0.0,13.3,5.0,2.3,sun,May,2012
126,2012-05-06,0.0,17.8,5.0,2.4,sun,May,2012
127,2012-05-07,0.0,23.9,6.1,2.2,sun,May,2012
128,2012-05-08,0.0,18.3,9.4,3.0,sun,May,2012
129,2012-05-09,0.0,13.3,6.7,3.9,rain,May,2012
130,2012-05-10,0.0,14.4,3.9,3.0,sun,May,2012
131,2012-05-11,0.0,18.3,4.4,4.3,sun,May,2012
132,2012-05-12,0.0,24.4,6.7,3.4,sun,May,2012
133,2012-05-13,0.0,25.6,9.4,4.2,sun,May,2012
134,2012-05-14,0.0,26.7,12.8,3.8,sun,May,2012
135,2012-05-15,0.0,24.4,9.4,4.1,drizzle,May,2012
